Delta, Rate, Expect, Margin
20, 47.51%, 116.46%, 0.82%
21, 48.61%, 116.77%, 0.80%
22, 48.91%, 117.29%, 0.79%
23, 48.55%, 118.02%, 0.78%
24, 48.83%, 118.46%, 0.77%
25, 48.96%, 118.86%, 0.75%
26, 48.89%, 119.30%, 0.74%
27, 48.43%, 119.85%, 0.74%
28, 48.28%, 120.25%, 0.72%
29, 48.59%, 120.48%, 0.71%
Stock SH600863
1, 45.01%, 101.87%, 1.87%
2, 46.55%, 102.75%, 1.38%
3, 47.17%, 103.41%, 1.14%
4, 47.88%, 104.00%, 1.00%
5, 48.67%, 104.54%, 0.91%
6, 49.25%, 105.11%, 0.85%
7, 49.18%, 105.62%, 0.80%
8, 49.45%, 106.06%, 0.76%
9, 49.80%, 106.44%, 0.72%
10, 49.80%, 106.84%, 0.68%
11, 50.55%, 107.03%, 0.64%
12, 50.34%, 107.37%, 0.61%
13, 49.59%, 107.83%, 0.60%
14, 49.59%, 108.16%, 0.58%
15, 49.73%, 108.42%, 0.56%
16, 50.48%, 108.56%, 0.54%
17, 49.39%, 109.14%, 0.54%
18, 50.34%, 109.33%, 0.52%
19, 50.31%, 109.76%, 0.51%
20, 51.33%, 110.05%, 0.50%
21, 51.96%, 110.30%, 0.49%
22, 52.80%, 110.45%, 0.48%
23, 52.96%, 110.71%, 0.47%
24, 52.39%, 111.08%, 0.46%
25, 52.34%, 111.29%, 0.45%
26, 51.98%, 111.57%, 0.44%
27, 51.11%, 111.95%, 0.44%
28, 50.45%, 112.24%, 0.44%
29, 50.39%, 112.38%, 0.43%
Stock SH600864
1, 49.11%, 102.05%, 2.05%
2, 49.46%, 103.00%, 1.50%
3, 48.16%, 103.82%, 1.27%
4, 48.27%, 104.41%, 1.10%
5, 48.13%, 105.00%, 1.00%
6, 47.89%, 105.43%, 0.90%
7, 47.68%, 105.91%, 0.84%
8, 47.05%, 106.37%, 0.80%
9, 46.77%, 106.83%, 0.76%
10, 46.87%, 107.28%, 0.73%
11, 46.17%, 107.79%, 0.71%
12, 46.07%, 108.26%, 0.69%
13, 46.31%, 108.65%, 0.67%
14, 46.10%, 109.17%, 0.65%
15, 46.98%, 109.41%, 0.63%
16, 47.97%, 109.65%, 0.60%
17, 48.48%, 109.95%, 0.59%
18, 48.53%, 110.40%, 0.58%
19, 48.01%, 111.06%, 0.58%
20, 48.95%, 111.37%, 0.57%
21, 48.95%, 111.84%, 0.56%
22, 49.65%, 112.14%, 0.55%
23, 49.46%, 112.58%, 0.55%
24, 49.19%, 113.08%, 0.55%
25, 49.05%, 113.52%, 0.54%
26, 48.81%, 113.92%, 0.54%
27, 49.09%, 114.12%, 0.52%
28, 49.51%, 114.25%, 0.51%
29, 49.54%, 114.44%, 0.50%
Stock SH600865
1, 48.98%, 101.74%, 1.74%
2, 48.88%, 102.66%, 1.33%
3, 49.36%, 103.26%, 1.09%
4, 49.30%, 103.80%, 0.95%
5, 50.00%, 104.24%, 0.85%
6, 49.80%, 104.64%, 0.77%
7, 49.86%, 105.10%, 0.73%
8, 48.80%, 105.65%, 0.71%
9, 48.77%, 106.03%, 0.67%
10, 48.77%, 106.40%, 0.64%
11, 47.94%, 106.80%, 0.62%
12, 48.37%, 107.02%, 0.59%
13, 48.62%, 107.28%, 0.56%
14, 49.55%, 107.40%, 0.53%
15, 49.73%, 107.59%, 0.51%
16, 49.70%, 107.85%, 0.49%
17, 48.98%, 108.31%, 0.49%
18, 49.19%, 108.69%, 0.48%
19, 49.55%, 109.14%, 0.48%
20, 49.23%, 109.72%, 0.49%
21, 49.55%, 110.09%, 0.48%
22, 49.91%, 110.43%, 0.47%
23, 49.77%, 110.85%, 0.47%
24, 50.20%, 111.15%, 0.46%
25, 49.45%, 111.60%, 0.46%
26, 49.84%, 111.69%, 0.45%
27, 50.09%, 111.73%, 0.43%
28, 50.13%, 111.75%, 0.42%
29, 50.73%, 111.72%, 0.40%
Stock SH600866
1, 47.06%, 101.91%, 1.91%
2, 46.71%, 102.91%, 1.46%
3, 47.65%, 103.65%, 1.22%
4, 48.51%, 104.27%, 1.07%
5, 47.58%, 104.94%, 0.99%
6, 47.16%, 105.56%, 0.93%
7, 47.23%, 105.97%, 0.85%
8, 46.47%, 106.44%, 0.80%
9, 45.53%, 106.86%, 0.76%
10, 45.46%, 107.17%, 0.72%
11, 45.29%, 107.55%, 0.69%
12, 45.29%, 107.93%, 0.66%
13, 45.01%, 108.37%, 0.64%
14, 44.84%, 108.77%, 0.63%
15, 44.81%, 109.14%, 0.61%
16, 44.89%, 109.53%, 0.60%
17, 45.60%, 109.73%, 0.57%
18, 46.38%, 109.95%, 0.55%
19, 46.84%, 110.41%, 0.55%
20, 46.96%, 110.96%, 0.55%
21, 47.24%, 111.40%, 0.54%
22, 47.49%, 111.74%, 0.53%
23, 47.66%, 112.07%, 0.52%
24, 47.69%, 112.36%, 0.51%
25, 47.31%, 112.66%, 0.51%
26, 46.90%, 112.92%, 0.50%
27, 47.29%, 112.95%, 0.48%
28, 47.41%, 113.05%, 0.47%
29, 47.85%, 113.09%, 0.45%
Stock SH600867
1, 48.98%, 101.87%, 1.87%
2, 49.28%, 102.89%, 1.44%
3, 49.53%, 103.46%, 1.15%
4, 48.90%, 104.07%, 1.02%
5, 48.36%, 104.62%, 0.92%
6, 48.17%, 105.15%, 0.86%
7, 48.29%, 105.50%, 0.79%
8, 47.69%, 105.95%, 0.74%
9, 47.95%, 106.29%, 0.70%
10, 48.00%, 106.62%, 0.66%
11, 47.36%, 107.12%, 0.65%
12, 47.68%, 107.46%, 0.62%
13, 46.70%, 107.95%, 0.61%
14, 46.58%, 108.25%, 0.59%
15, 45.94%, 108.67%, 0.58%
16, 46.61%, 108.93%, 0.56%
17, 47.09%, 109.17%, 0.54%
18, 46.99%, 109.55%, 0.53%
19, 47.92%, 109.79%, 0.52%
20, 48.84%, 110.08%, 0.50%
21, 48.89%, 110.49%, 0.50%
22, 48.96%, 110.84%, 0.49%
23, 49.07%, 111.07%, 0.48%
24, 49.26%, 111.18%, 0.47%
25, 49.10%, 111.35%, 0.45%
26, 49.19%, 111.44%, 0.44%
27, 48.89%, 111.68%, 0.43%
28, 48.80%, 111.94%, 0.43%
29, 48.68%, 112.20%, 0.42%
Stock SH600868
1, 44.75%, 101.69%, 1.69%
2, 44.68%, 102.53%, 1.26%
3, 44.32%, 103.22%, 1.07%
4, 44.55%, 103.87%, 0.97%
5, 44.62%, 104.43%, 0.89%
6, 45.17%, 104.87%, 0.81%
7, 45.56%, 105.26%, 0.75%
8, 44.39%, 105.82%, 0.73%
9, 44.06%, 106.28%, 0.70%
10, 43.90%, 106.65%, 0.67%
11, 43.74%, 107.00%, 0.64%
12, 42.92%, 107.38%, 0.62%
13, 42.87%, 107.65%, 0.59%
14, 43.31%, 107.86%, 0.56%
15, 43.68%, 108.13%, 0.54%
16, 43.37%, 108.52%, 0.53%
17, 44.22%, 108.63%, 0.51%
18, 44.15%, 108.92%, 0.50%
19, 44.42%, 109.29%, 0.49%
20, 44.55%, 109.72%, 0.49%
21, 44.81%, 110.16%, 0.48%
22, 44.94%, 110.56%, 0.48%
23, 44.68%, 110.98%, 0.48%
24, 44.71%, 111.24%, 0.47%
25, 44.38%, 111.49%, 0.46%
26, 44.51%, 111.56%, 0.44%
27, 44.45%, 111.83%, 0.44%
28, 44.74%, 111.96%, 0.43%
29, 44.38%, 112.29%, 0.42%
Stock SH600869
1, 47.26%, 102.05%, 2.05%
2, 48.50%, 103.13%, 1.57%
3, 49.86%, 103.73%, 1.24%
4, 49.66%, 104.30%, 1.07%
5, 49.35%, 104.89%, 0.98%
6, 49.76%, 105.34%, 0.89%
7, 49.57%, 105.71%, 0.82%
8, 48.46%, 106.21%, 0.78%
9, 48.91%, 106.58%, 0.73%
10, 48.44%, 107.14%, 0.71%
11, 48.99%, 107.50%, 0.68%
12, 48.84%, 107.99%, 0.67%
13, 49.28%, 108.44%, 0.65%
14, 49.86%, 108.83%, 0.63%
15, 49.86%, 109.34%, 0.62%
16, 50.25%, 109.81%, 0.61%
17, 49.38%, 110.45%, 0.61%
18, 49.60%, 110.81%, 0.60%
19, 49.67%, 111.24%, 0.59%
20, 49.49%, 111.67%, 0.58%
21, 49.60%, 112.01%, 0.57%
22, 49.86%, 112.30%, 0.56%
23, 49.71%, 112.63%, 0.55%
24, 49.49%, 112.89%, 0.54%
25, 49.71%, 113.06%, 0.52%
26, 49.49%, 113.28%, 0.51%
27, 49.31%, 113.49%, 0.50%
28, 49.26%, 113.66%, 0.49%
29, 48.88%, 113.88%, 0.48%
Stock SH600870
1, 46.52%, 101.93%, 1.93%
2, 46.30%, 103.01%, 1.51%
3, 47.44%, 103.78%, 1.26%
4, 47.20%, 104.51%, 1.13%
5, 46.60%, 105.12%, 1.02%
6, 46.60%, 105.60%, 0.93%
7, 47.00%, 106.00%, 0.86%
8, 45.76%, 106.64%, 0.83%
9, 45.12%, 107.27%, 0.81%
10, 44.24%, 107.95%, 0.80%
11, 44.64%, 108.33%, 0.76%
12, 44.76%, 108.77%, 0.73%
13, 45.18%, 109.11%, 0.70%
14, 45.76%, 109.43%, 0.67%
15, 46.06%, 109.75%, 0.65%
16, 47.00%, 110.01%, 0.63%
17, 47.17%, 110.40%, 0.61%
18, 47.43%, 110.79%, 0.60%
19, 48.54%, 110.93%, 0.58%
20, 48.15%, 111.45%, 0.57%
21, 48.33%, 111.73%, 0.56%
22, 48.11%, 112.12%, 0.55%
23, 47.57%, 112.60%, 0.55%
24, 48.19%, 112.82%, 0.53%
25, 48.25%, 113.17%, 0.53%
26, 47.57%, 113.69%, 0.53%
27, 47.29%, 114.09%, 0.52%
28, 46.26%, 114.73%, 0.53%
29, 46.04%, 115.13%, 0.52%
Stock SH600871
1, 44.87%, 101.90%, 1.90%
2, 45.96%, 102.76%, 1.38%
3, 46.57%, 103.50%, 1.17%
4, 47.64%, 104.15%, 1.04%
5, 47.27%, 104.76%, 0.95%
6, 47.06%, 105.28%, 0.88%
7, 47.84%, 105.68%, 0.81%
8, 47.91%, 106.10%, 0.76%
9, 47.10%, 106.56%, 0.73%
10, 47.10%, 106.87%, 0.69%
11, 46.24%, 107.31%, 0.66%
12, 46.88%, 107.48%, 0.62%
13, 46.73%, 107.84%, 0.60%
14, 46.92%, 108.20%, 0.59%
15, 46.65%, 108.65%, 0.58%
16, 46.42%, 109.08%, 0.57%
17, 46.74%, 109.40%, 0.55%
18, 47.06%, 109.68%, 0.54%
19, 47.13%, 110.03%, 0.53%
20, 47.13%, 110.37%, 0.52%
21, 47.27%, 110.66%, 0.51%
22, 46.63%, 111.06%, 0.50%
23, 46.25%, 111.48%, 0.50%
24, 44.94%, 112.05%, 0.50%
25, 44.98%, 112.27%, 0.49%
26, 44.82%, 112.53%, 0.48%
27, 43.70%, 113.08%, 0.48%
28, 43.79%, 113.31%, 0.48%
29, 43.77%, 113.55%, 0.47%
Stock SH600872
1, 48.55%, 101.98%, 1.98%
2, 49.58%, 102.97%, 1.48%
3, 50.13%, 103.72%, 1.24%
4, 50.31%, 104.36%, 1.09%
5, 50.05%, 105.03%, 1.01%
6, 50.13%, 105.51%, 0.92%
7, 50.68%, 105.86%, 0.84%
8, 48.92%, 106.45%, 0.81%
9, 48.41%, 106.89%, 0.77%
10, 48.08%, 107.34%, 0.73%
11, 48.24%, 107.70%, 0.70%
12, 47.93%, 108.14%, 0.68%
13, 47.58%, 108.53%, 0.66%
14, 48.07%, 108.86%, 0.63%
15, 48.75%, 109.07%, 0.60%
16, 48.95%, 109.31%, 0.58%
17, 48.97%, 109.62%, 0.57%
18, 49.43%, 109.81%, 0.55%
19, 49.96%, 109.97%, 0.52%
20, 49.98%, 110.20%, 0.51%
21, 50.00%, 110.42%, 0.50%
22, 50.51%, 110.52%, 0.48%
23, 50.15%, 110.76%, 0.47%
24, 50.39%, 110.93%, 0.46%
25, 50.15%, 111.26%, 0.45%
26, 50.35%, 111.47%, 0.44%
27, 50.22%, 111.76%, 0.44%
28, 50.48%, 111.97%, 0.43%
29, 50.77%, 112.27%, 0.42%
Stock SH600873
1, 48.14%, 102.03%, 2.03%
2, 49.00%, 103.01%, 1.51%
3, 49.27%, 103.71%, 1.24%
4, 49.00%, 104.38%, 1.10%
5, 48.53%, 105.02%, 1.00%
6, 49.89%, 105.32%, 0.89%
7, 50.54%, 105.69%, 0.81%
8, 49.55%, 106.20%, 0.78%
9, 48.53%, 106.77%, 0.75%
10, 48.77%, 107.15%, 0.71%
11, 47.63%, 107.70%, 0.70%
12, 46.34%, 108.28%, 0.69%
13, 45.97%, 108.77%, 0.67%
14, 46.16%, 109.16%, 0.65%
15, 46.46%, 109.44%, 0.63%
16, 47.24%, 109.76%, 0.61%
17, 47.84%, 110.14%, 0.60%
18, 48.17%, 110.62%, 0.59%
19, 48.28%, 111.13%, 0.59%
20, 48.36%, 111.68%, 0.58%
21, 48.25%, 112.16%, 0.58%
22, 49.10%, 112.34%, 0.56%
23, 48.36%, 112.84%, 0.56%
24, 47.91%, 113.19%, 0.55%
25, 47.24%, 113.63%, 0.55%
26, 47.46%, 113.77%, 0.53%
27, 47.09%, 113.97%, 0.52%
28, 47.20%, 113.94%, 0.50%
29, 47.69%, 113.90%, 0.48%
Stock SH600874
1, 49.36%, 101.83%, 1.83%
2, 48.96%, 102.79%, 1.40%
3, 49.61%, 103.44%, 1.15%
4, 50.36%, 103.97%, 0.99%
5, 50.59%, 104.43%, 0.89%
6, 50.18%, 104.82%, 0.80%
7, 50.39%, 105.14%, 0.73%
8, 50.04%, 105.48%, 0.69%
9, 49.11%, 105.84%, 0.65%
10, 48.00%, 106.35%, 0.64%
11, 48.35%, 106.69%, 0.61%
12, 48.32%, 107.02%, 0.58%
13, 47.60%, 107.55%, 0.58%
14, 48.43%, 107.88%, 0.56%
15, 48.18%, 108.39%, 0.56%
16, 48.34%, 108.80%, 0.55%
17, 47.92%, 109.34%, 0.55%
18, 48.19%, 109.73%, 0.54%
19, 47.78%, 110.34%, 0.54%
20, 47.19%, 111.00%, 0.55%
21, 47.56%, 111.29%, 0.54%
22, 46.95%, 111.76%, 0.53%
23, 47.35%, 111.99%, 0.52%
24, 46.99%, 112.35%, 0.51%
25, 46.77%, 112.73%, 0.51%
26, 46.85%, 113.01%, 0.50%
27, 47.17%, 113.20%, 0.49%
28, 46.99%, 113.54%, 0.48%
29, 47.06%, 113.74%, 0.47%
Stock SH600875
1, 49.41%, 101.94%, 1.94%
2, 50.59%, 102.87%, 1.44%
3, 50.78%, 103.58%, 1.19%
4, 51.66%, 104.18%, 1.04%
5, 50.84%, 104.91%, 0.98%
6, 51.70%, 105.40%, 0.90%
7, 51.70%, 105.86%, 0.84%
8, 51.55%, 106.28%, 0.78%
9, 50.55%, 106.79%, 0.75%
10, 51.09%, 107.08%, 0.71%
11, 51.17%, 107.34%, 0.67%
12, 50.44%, 107.69%, 0.64%
13, 51.09%, 107.89%, 0.61%
14, 51.05%, 108.23%, 0.59%
15, 50.55%, 108.64%, 0.58%
16, 51.01%, 108.87%, 0.55%
17, 50.36%, 109.20%, 0.54%
18, 51.17%, 109.31%, 0.52%
19, 50.86%, 109.73%, 0.51%
20, 50.82%, 110.05%, 0.50%
21, 51.43%, 110.22%, 0.49%
22, 51.39%, 110.53%, 0.48%
23, 50.99%, 110.94%, 0.48%
24, 51.28%, 111.11%, 0.46%
25, 51.42%, 111.30%, 0.45%
26, 51.36%, 111.55%, 0.44%
27, 51.65%, 111.74%, 0.43%
28, 51.17%, 112.05%, 0.43%
29, 51.23%, 112.27%, 0.42%
Stock SH600876
1, 48.01%, 102.08%, 2.08%
2, 47.77%, 103.14%, 1.57%
3, 48.89%, 103.89%, 1.30%
4, 49.61%, 104.50%, 1.12%
5, 48.26%, 105.29%, 1.06%
6, 47.96%, 105.95%, 0.99%
7, 48.00%, 106.54%, 0.93%
8, 47.66%, 107.14%, 0.89%
9, 47.47%, 107.72%, 0.86%
10, 46.35%, 108.45%, 0.85%
11, 46.38%, 109.00%, 0.82%
12, 46.80%, 109.37%, 0.78%
13, 47.81%, 109.60%, 0.74%
14, 48.07%, 109.91%, 0.71%
15, 47.88%, 110.42%, 0.69%
16, 47.32%, 111.10%, 0.69%
17, 47.58%, 111.55%, 0.68%
18, 47.66%, 112.05%, 0.67%
19, 47.85%, 112.56%, 0.66%
20, 48.07%, 113.11%, 0.66%
21, 49.04%, 113.54%, 0.64%
22, 49.61%, 113.96%, 0.63%
23, 49.38%, 114.52%, 0.63%
24, 49.57%, 114.90%, 0.62%
25, 49.68%, 115.13%, 0.61%
26, 50.24%, 115.19%, 0.58%
27, 50.66%, 115.30%, 0.57%
28, 50.09%, 115.70%, 0.56%
29, 49.83%, 116.00%, 0.55%
Stock SH600877
1, 46.38%, 102.02%, 2.02%
2, 47.18%, 103.02%, 1.51%
3, 48.72%, 103.76%, 1.25%
4, 48.77%, 104.55%, 1.14%
5, 48.95%, 105.23%, 1.05%
6, 47.02%, 106.05%, 1.01%
7, 47.16%, 106.58%, 0.94%
8, 46.74%, 107.18%, 0.90%
9, 46.33%, 107.79%, 0.87%
10, 46.33%, 108.26%, 0.83%
11, 46.02%, 108.79%, 0.80%
12, 45.75%, 109.29%, 0.77%
13, 45.90%, 109.63%, 0.74%
14, 46.65%, 109.83%, 0.70%
15, 46.22%, 110.28%, 0.69%
16, 46.22%, 110.72%, 0.67%
17, 46.00%, 111.13%, 0.65%
18, 46.88%, 111.40%, 0.63%
19, 46.96%, 111.88%, 0.63%
20, 46.80%, 112.31%, 0.62%
21, 46.92%, 112.75%, 0.61%
22, 47.54%, 112.94%, 0.59%
23, 47.50%, 113.26%, 0.58%
24, 48.36%, 113.34%, 0.56%
25, 48.24%, 113.64%, 0.55%
26, 48.40%, 113.85%, 0.53%
27, 48.48%, 114.17%, 0.52%
28, 48.48%, 114.52%, 0.52%
29, 47.93%, 115.01%, 0.52%
Stock SH600878
1, 45.95%, 102.02%, 2.02%
2, 46.93%, 102.97%, 1.49%
3, 48.02%, 103.76%, 1.25%
4, 48.28%, 104.48%, 1.12%
5, 49.16%, 105.00%, 1.00%
6, 49.74%, 105.47%, 0.91%
7, 49.22%, 105.97%, 0.85%
8, 48.28%, 106.46%, 0.81%
9, 45.77%, 107.26%, 0.81%
10, 43.47%, 108.07%, 0.81%
11, 41.38%, 108.84%, 0.80%
12, 40.75%, 109.26%, 0.77%
13, 40.02%, 109.68%, 0.74%
14, 39.71%, 110.23%, 0.73%
15, 39.50%, 110.82%, 0.72%
16, 39.81%, 111.20%, 0.70%
17, 39.50%, 111.77%, 0.69%
18, 40.75%, 111.91%, 0.66%
19, 40.96%, 112.16%, 0.64%
20, 40.44%, 112.74%, 0.64%
21, 41.38%, 112.77%, 0.61%
22, 41.90%, 112.88%, 0.59%
23, 41.27%, 113.34%, 0.58%
24, 41.07%, 113.74%, 0.57%
25, 40.23%, 114.56%, 0.58%
26, 40.27%, 115.23%, 0.59%
27, 40.73%, 115.60%, 0.58%
28, 40.15%, 116.29%, 0.58%
29, 39.87%, 116.93%, 0.58%
Stock SH600879
1, 50.71%, 101.94%, 1.94%
2, 50.47%, 102.94%, 1.47%
3, 52.51%, 103.60%, 1.20%
4, 51.82%, 104.25%, 1.06%
5, 51.31%, 104.79%, 0.96%
6, 50.62%, 105.31%, 0.88%
7, 50.73%, 105.72%, 0.82%
8, 50.58%, 106.16%, 0.77%
9, 50.69%, 106.50%, 0.72%
10, 50.36%, 106.85%, 0.69%
11, 50.77%, 107.17%, 0.65%
12, 51.03%, 107.50%, 0.62%
13, 51.22%, 107.93%, 0.61%
14, 51.43%, 108.30%, 0.59%
15, 51.39%, 108.72%, 0.58%
16, 51.20%, 109.20%, 0.57%
17, 51.99%, 109.38%, 0.55%
18, 51.88%, 109.68%, 0.54%
19, 52.14%, 109.95%, 0.52%
20, 52.06%, 110.28%, 0.51%
21, 52.70%, 110.43%, 0.50%
22, 51.65%, 110.90%, 0.50%
23, 51.69%, 111.13%, 0.48%
24, 50.75%, 111.63%, 0.48%
25, 50.56%, 111.99%, 0.48%
26, 50.23%, 112.39%, 0.48%
27, 50.30%, 112.66%, 0.47%
28, 49.85%, 113.06%, 0.47%
29, 50.45%, 113.15%, 0.45%
Stock SH600880
1, 47.41%, 101.87%, 1.87%
2, 48.46%, 102.78%, 1.39%
3, 49.00%, 103.54%, 1.18%
4, 47.63%, 104.30%, 1.08%
5, 47.08%, 104.93%, 0.99%
6, 47.45%, 105.38%, 0.90%
7, 46.32%, 106.02%, 0.86%
8, 48.19%, 106.18%, 0.77%
9, 47.59%, 106.57%, 0.73%
10, 47.97%, 106.86%, 0.69%
11, 48.20%, 107.25%, 0.66%
12, 48.84%, 107.58%, 0.63%
13, 48.97%, 107.89%, 0.61%
14, 49.16%, 108.17%, 0.58%
15, 49.33%, 108.57%, 0.57%
16, 49.13%, 108.93%, 0.56%
17, 49.04%, 109.27%, 0.55%
18, 48.80%, 109.64%, 0.54%
19, 48.53%, 109.98%, 0.53%
20, 48.11%, 110.35%, 0.52%
21, 48.73%, 110.54%, 0.50%
22, 48.47%, 110.89%, 0.49%
23, 48.80%, 111.19%, 0.49%
24, 48.47%, 111.52%, 0.48%
25, 48.80%, 111.64%, 0.47%
26, 48.47%, 111.85%, 0.46%
27, 48.91%, 111.90%, 0.44%
28, 48.44%, 112.17%, 0.43%
29, 48.51%, 112.33%, 0.43%
Stock SH600881
1, 48.35%, 101.82%, 1.82%
2, 49.25%, 102.72%, 1.36%
3, 50.00%, 103.33%, 1.11%
4, 49.91%, 103.92%, 0.98%
5, 48.88%, 104.51%, 0.90%
6, 48.44%, 105.01%, 0.83%
7, 48.42%, 105.35%, 0.76%
8, 48.42%, 105.57%, 0.70%
9, 47.86%, 105.92%, 0.66%
10, 47.89%, 106.15%, 0.62%
11, 47.58%, 106.51%, 0.59%
12, 47.33%, 106.90%, 0.57%
13, 46.94%, 107.29%, 0.56%
14, 46.87%, 107.59%, 0.54%
15, 46.99%, 107.84%, 0.52%
16, 46.77%, 108.23%, 0.51%
17, 47.17%, 108.44%, 0.50%
18, 47.36%, 108.75%, 0.49%
19, 47.31%, 109.15%, 0.48%
20, 47.75%, 109.42%, 0.47%
21, 47.66%, 109.74%, 0.46%
22, 47.78%, 110.03%, 0.46%
23, 48.01%, 110.33%, 0.45%
24, 48.27%, 110.58%, 0.44%
25, 48.13%, 110.87%, 0.43%
26, 48.38%, 111.06%, 0.43%
27, 47.88%, 111.45%, 0.42%
28, 47.57%, 111.76%, 0.42%
29, 47.50%, 111.90%, 0.41%
Stock SH600882
1, 48.06%, 102.05%, 2.05%
2, 49.09%, 103.08%, 1.54%
3, 50.54%, 103.75%, 1.25%
4, 51.55%, 104.41%, 1.10%
5, 51.59%, 104.98%, 1.00%
6, 51.75%, 105.47%, 0.91%
7, 50.66%, 105.94%, 0.85%
8, 50.58%, 106.30%, 0.79%
9, 49.57%, 106.72%, 0.75%
10, 49.26%, 107.11%, 0.71%
11, 49.81%, 107.38%, 0.67%
12, 50.39%, 107.65%, 0.64%
13, 51.13%, 107.91%, 0.61%
14, 50.58%, 108.39%, 0.60%
15, 50.93%, 108.76%, 0.58%
16, 51.48%, 109.13%, 0.57%
17, 51.05%, 109.68%, 0.57%
18, 50.85%, 110.17%, 0.57%
19, 51.09%, 110.50%, 0.55%
20, 50.93%, 110.91%, 0.55%
21, 50.08%, 111.35%, 0.54%
22, 49.92%, 111.71%, 0.53%
23, 50.04%, 112.04%, 0.52%
24, 50.00%, 112.43%, 0.52%
25, 50.27%, 112.71%, 0.51%
26, 51.09%, 112.84%, 0.49%
27, 50.74%, 113.35%, 0.49%
28, 51.05%, 113.69%, 0.49%
29, 50.70%, 114.13%, 0.49%
Stock SH600883
1, 49.66%, 102.09%, 2.09%
2, 50.13%, 103.13%, 1.57%
3, 51.29%, 103.89%, 1.30%
4, 51.12%, 104.56%, 1.14%
5, 51.25%, 105.17%, 1.03%
6, 51.46%, 105.73%, 0.96%
7, 50.23%, 106.41%, 0.92%
8, 49.87%, 106.93%, 0.87%
9, 49.43%, 107.50%, 0.83%
10, 49.26%, 108.04%, 0.80%
11, 50.00%, 108.28%, 0.75%
12, 49.98%, 108.68%, 0.72%
13, 49.49%, 109.10%, 0.70%
14, 49.41%, 109.51%, 0.68%
15, 49.56%, 109.90%, 0.66%
16, 50.13%, 110.16%, 0.64%
17, 49.94%, 110.58%, 0.62%
18, 49.41%, 111.07%, 0.61%
19, 49.87%, 111.42%, 0.60%
20, 49.75%, 111.93%, 0.60%
21, 50.59%, 112.25%, 0.58%
22, 50.44%, 112.69%, 0.58%
23, 50.78%, 112.99%, 0.56%
24, 50.29%, 113.36%, 0.56%
25, 50.55%, 113.51%, 0.54%
26, 50.13%, 113.72%, 0.53%
27, 49.75%, 113.88%, 0.51%
28, 49.22%, 114.15%, 0.51%
29, 48.84%, 114.47%, 0.50%
Stock SH600884
1, 49.24%, 102.20%, 2.20%
2, 49.70%, 103.34%, 1.67%
3, 50.84%, 104.08%, 1.36%
4, 50.90%, 104.81%, 1.20%
5, 51.14%, 105.40%, 1.08%
6, 51.12%, 105.78%, 0.96%
7, 50.62%, 106.22%, 0.89%
8, 49.93%, 106.62%, 0.83%
9, 49.72%, 107.03%, 0.78%
10, 48.37%, 107.58%, 0.76%
11, 48.07%, 107.97%, 0.72%
12, 46.84%, 108.50%, 0.71%
13, 46.80%, 108.86%, 0.68%
14, 46.47%, 109.34%, 0.67%
15, 46.62%, 109.76%, 0.65%
16, 46.69%, 110.16%, 0.64%
17, 46.56%, 110.54%, 0.62%
18, 46.88%, 110.81%, 0.60%
19, 47.72%, 111.05%, 0.58%
20, 47.81%, 111.47%, 0.57%
21, 48.46%, 111.76%, 0.56%
22, 49.08%, 112.02%, 0.55%
23, 48.54%, 112.55%, 0.55%
24, 48.56%, 112.92%, 0.54%
25, 48.46%, 113.22%, 0.53%
26, 48.22%, 113.50%, 0.52%
27, 48.63%, 113.66%, 0.51%
28, 48.48%, 114.01%, 0.50%
29, 48.03%, 114.44%, 0.50%
Stock SH600885
1, 49.98%, 102.25%, 2.25%
2, 51.27%, 103.33%, 1.66%
3, 52.85%, 104.01%, 1.34%
4, 52.93%, 104.67%, 1.17%
5, 54.67%, 105.12%, 1.02%
6, 54.27%, 105.74%, 0.96%
7, 54.47%, 106.25%, 0.89%
8, 54.63%, 106.75%, 0.84%
9, 54.95%, 107.19%, 0.80%
10, 53.66%, 107.87%, 0.79%
11, 53.82%, 108.32%, 0.76%
12, 52.69%, 108.93%, 0.74%
13, 52.57%, 109.32%, 0.72%
14, 52.04%, 109.81%, 0.70%
15, 51.76%, 110.26%, 0.68%
16, 52.65%, 110.49%, 0.66%
17, 52.61%, 110.90%, 0.64%
18, 53.09%, 111.22%, 0.62%
19, 53.09%, 111.66%, 0.61%
20, 52.73%, 112.19%, 0.61%
21, 52.85%, 112.57%, 0.60%
22, 53.78%, 112.80%, 0.58%
23, 53.90%, 113.20%, 0.57%
24, 54.21%, 113.48%, 0.56%
25, 53.86%, 113.86%, 0.55%
26, 54.53%, 114.02%, 0.54%
27, 54.92%, 114.23%, 0.53%
28, 54.74%, 114.65%, 0.52%
29, 54.52%, 115.03%, 0.52%
Stock SH600886
1, 48.49%, 101.63%, 1.63%
2, 49.82%, 102.46%, 1.23%
3, 51.68%, 102.96%, 0.99%
4, 51.31%, 103.54%, 0.89%
5, 52.08%, 104.00%, 0.80%
6, 52.89%, 104.29%, 0.71%
7, 53.29%, 104.55%, 0.65%
8, 52.81%, 104.91%, 0.61%
9, 52.60%, 105.24%, 0.58%
10, 52.32%, 105.58%, 0.56%
11, 52.00%, 105.90%, 0.54%
12, 52.52%, 106.11%, 0.51%
