Delta, Rate, Expect, Margin
2, 50.95%, 102.49%, 1.25%
3, 50.69%, 103.06%, 1.02%
4, 49.77%, 103.60%, 0.90%
5, 49.52%, 104.06%, 0.81%
6, 48.25%, 104.48%, 0.75%
7, 48.59%, 104.74%, 0.68%
8, 48.84%, 105.03%, 0.63%
9, 48.42%, 105.42%, 0.60%
10, 48.91%, 105.71%, 0.57%
11, 49.31%, 105.96%, 0.54%
12, 49.28%, 106.32%, 0.53%
13, 49.18%, 106.63%, 0.51%
14, 49.58%, 106.89%, 0.49%
15, 50.08%, 107.18%, 0.48%
16, 51.01%, 107.36%, 0.46%
17, 50.51%, 107.73%, 0.45%
18, 50.76%, 107.95%, 0.44%
19, 51.60%, 108.09%, 0.43%
20, 51.58%, 108.38%, 0.42%
21, 52.03%, 108.60%, 0.41%
22, 52.49%, 108.82%, 0.40%
23, 52.28%, 109.10%, 0.40%
24, 51.90%, 109.42%, 0.39%
25, 51.77%, 109.78%, 0.39%
26, 51.35%, 110.22%, 0.39%
27, 51.22%, 110.48%, 0.39%
28, 51.65%, 110.62%, 0.38%
29, 51.14%, 110.94%, 0.38%
Stock SH600008
1, 47.73%, 101.72%, 1.72%
2, 48.22%, 102.66%, 1.33%
3, 49.67%, 103.28%, 1.09%
4, 49.32%, 103.95%, 0.99%
5, 48.66%, 104.49%, 0.90%
6, 48.22%, 104.93%, 0.82%
7, 47.29%, 105.46%, 0.78%
8, 47.51%, 105.82%, 0.73%
9, 46.94%, 106.26%, 0.70%
10, 46.28%, 106.72%, 0.67%
11, 46.01%, 107.11%, 0.65%
12, 46.85%, 107.30%, 0.61%
13, 46.41%, 107.70%, 0.59%
14, 46.90%, 107.98%, 0.57%
15, 47.20%, 108.35%, 0.56%
16, 47.56%, 108.62%, 0.54%
17, 47.82%, 108.85%, 0.52%
18, 48.04%, 109.13%, 0.51%
19, 48.30%, 109.29%, 0.49%
20, 47.38%, 109.73%, 0.49%
21, 47.16%, 110.05%, 0.48%
22, 46.90%, 110.38%, 0.47%
23, 46.98%, 110.66%, 0.46%
24, 47.31%, 110.86%, 0.45%
25, 48.13%, 110.96%, 0.44%
26, 48.19%, 111.24%, 0.43%
27, 48.02%, 111.52%, 0.43%
28, 47.97%, 111.74%, 0.42%
29, 48.10%, 111.94%, 0.41%
Stock SH600009
1, 48.50%, 101.51%, 1.51%
2, 50.04%, 102.20%, 1.10%
3, 50.52%, 102.68%, 0.89%
4, 51.34%, 103.04%, 0.76%
5, 51.50%, 103.38%, 0.68%
6, 51.63%, 103.69%, 0.62%
7, 51.55%, 104.06%, 0.58%
8, 52.16%, 104.34%, 0.54%
9, 51.34%, 104.70%, 0.52%
10, 51.83%, 104.91%, 0.49%
11, 51.61%, 105.21%, 0.47%
12, 51.38%, 105.48%, 0.46%
13, 51.53%, 105.69%, 0.44%
14, 51.18%, 105.98%, 0.43%
15, 51.32%, 106.23%, 0.42%
16, 51.59%, 106.45%, 0.40%
17, 51.36%, 106.68%, 0.39%
18, 51.72%, 106.85%, 0.38%
19, 51.57%, 107.15%, 0.38%
20, 51.88%, 107.42%, 0.37%
21, 52.48%, 107.64%, 0.36%
22, 52.59%, 107.90%, 0.36%
23, 52.61%, 108.11%, 0.35%
24, 51.51%, 108.44%, 0.35%
25, 51.99%, 108.56%, 0.34%
26, 52.38%, 108.69%, 0.33%
27, 52.68%, 108.79%, 0.33%
28, 52.59%, 108.99%, 0.32%
29, 52.86%, 109.14%, 0.32%
Stock SH600010
1, 44.02%, 101.81%, 1.81%
2, 44.67%, 102.64%, 1.32%
3, 45.02%, 103.29%, 1.10%
4, 45.84%, 103.78%, 0.95%
5, 46.32%, 104.22%, 0.84%
6, 45.75%, 104.67%, 0.78%
7, 45.54%, 105.15%, 0.74%
8, 46.36%, 105.43%, 0.68%
9, 44.08%, 106.02%, 0.67%
10, 43.71%, 106.30%, 0.63%
11, 45.03%, 106.35%, 0.58%
12, 44.16%, 106.73%, 0.56%
13, 43.69%, 107.09%, 0.55%
14, 43.12%, 107.52%, 0.54%
15, 42.82%, 107.97%, 0.53%
16, 42.65%, 108.43%, 0.53%
17, 42.17%, 108.94%, 0.53%
18, 42.08%, 109.43%, 0.52%
19, 42.13%, 109.92%, 0.52%
20, 41.82%, 110.39%, 0.52%
21, 41.69%, 110.76%, 0.51%
22, 42.01%, 110.99%, 0.50%
23, 41.64%, 111.37%, 0.49%
24, 42.18%, 111.50%, 0.48%
25, 42.42%, 111.72%, 0.47%
26, 42.70%, 112.00%, 0.46%
27, 42.15%, 112.49%, 0.46%
28, 42.38%, 112.84%, 0.46%
29, 42.66%, 113.16%, 0.45%
Stock SH600011
1, 46.51%, 101.55%, 1.55%
2, 47.75%, 102.35%, 1.18%
3, 47.79%, 102.95%, 0.98%
4, 47.84%, 103.44%, 0.86%
5, 48.71%, 103.86%, 0.77%
6, 48.85%, 104.25%, 0.71%
7, 49.54%, 104.45%, 0.64%
8, 49.08%, 104.74%, 0.59%
9, 47.93%, 105.10%, 0.57%
10, 47.98%, 105.31%, 0.53%
11, 48.25%, 105.51%, 0.50%
12, 48.58%, 105.66%, 0.47%
13, 47.20%, 105.98%, 0.46%
14, 46.65%, 106.23%, 0.45%
15, 46.46%, 106.53%, 0.44%
16, 46.60%, 106.81%, 0.43%
17, 47.15%, 107.07%, 0.42%
18, 46.37%, 107.51%, 0.42%
19, 46.32%, 107.82%, 0.41%
20, 46.42%, 108.04%, 0.40%
21, 46.60%, 108.30%, 0.40%
22, 46.83%, 108.49%, 0.39%
23, 47.52%, 108.61%, 0.37%
24, 46.74%, 109.00%, 0.38%
25, 46.88%, 109.18%, 0.37%
26, 46.78%, 109.40%, 0.36%
27, 46.69%, 109.61%, 0.36%
28, 46.90%, 109.76%, 0.35%
29, 47.38%, 109.83%, 0.34%
Stock SH600012
1, 47.56%, 101.59%, 1.59%
2, 48.02%, 102.38%, 1.19%
3, 49.77%, 102.78%, 0.93%
4, 49.77%, 103.20%, 0.80%
5, 49.41%, 103.58%, 0.72%
6, 48.69%, 103.96%, 0.66%
7, 48.85%, 104.20%, 0.60%
8, 48.28%, 104.38%, 0.55%
9, 48.44%, 104.61%, 0.51%
10, 48.33%, 104.94%, 0.49%
11, 49.00%, 105.19%, 0.47%
12, 48.69%, 105.50%, 0.46%
13, 48.33%, 105.82%, 0.45%
14, 48.59%, 106.06%, 0.43%
15, 48.18%, 106.42%, 0.43%
16, 48.64%, 106.62%, 0.41%
17, 49.05%, 106.83%, 0.40%
18, 49.56%, 106.97%, 0.39%
19, 48.38%, 107.40%, 0.39%
20, 48.49%, 107.72%, 0.39%
21, 48.28%, 108.09%, 0.39%
22, 49.10%, 108.31%, 0.38%
23, 49.41%, 108.57%, 0.37%
24, 48.79%, 108.94%, 0.37%
25, 48.79%, 109.15%, 0.37%
26, 48.54%, 109.42%, 0.36%
27, 48.69%, 109.62%, 0.36%
28, 49.26%, 109.67%, 0.35%
29, 49.15%, 109.90%, 0.34%
Stock SH600015
1, 46.81%, 101.46%, 1.46%
2, 47.20%, 102.16%, 1.08%
3, 48.31%, 102.65%, 0.88%
4, 49.58%, 102.97%, 0.74%
5, 48.31%, 103.43%, 0.69%
6, 48.05%, 103.76%, 0.63%
7, 48.00%, 104.01%, 0.57%
8, 48.83%, 104.10%, 0.51%
9, 48.26%, 104.38%, 0.49%
10, 48.83%, 104.58%, 0.46%
11, 48.83%, 104.81%, 0.44%
12, 48.26%, 105.07%, 0.42%
13, 49.19%, 105.18%, 0.40%
14, 48.83%, 105.37%, 0.38%
15, 48.99%, 105.51%, 0.37%
16, 48.93%, 105.69%, 0.36%
17, 48.05%, 105.95%, 0.35%
18, 47.79%, 106.11%, 0.34%
19, 47.22%, 106.35%, 0.33%
20, 47.79%, 106.47%, 0.32%
21, 47.32%, 106.68%, 0.32%
22, 48.10%, 106.79%, 0.31%
23, 47.95%, 107.04%, 0.31%
24, 47.74%, 107.26%, 0.30%
25, 48.52%, 107.34%, 0.29%
26, 47.74%, 107.72%, 0.30%
27, 47.37%, 108.02%, 0.30%
28, 47.50%, 108.10%, 0.29%
29, 47.58%, 108.21%, 0.28%
Stock SH600016
1, 44.03%, 101.46%, 1.46%
2, 46.21%, 102.04%, 1.02%
3, 46.06%, 102.54%, 0.85%
4, 45.76%, 102.92%, 0.73%
5, 45.76%, 103.31%, 0.66%
6, 46.14%, 103.62%, 0.60%
7, 46.82%, 103.84%, 0.55%
8, 47.63%, 104.00%, 0.50%
9, 46.18%, 104.35%, 0.48%
10, 46.78%, 104.54%, 0.45%
11, 47.12%, 104.74%, 0.43%
12, 47.67%, 104.87%, 0.41%
13, 46.86%, 105.10%, 0.39%
14, 46.29%, 105.29%, 0.38%
15, 46.39%, 105.38%, 0.36%
16, 45.52%, 105.59%, 0.35%
17, 45.54%, 105.75%, 0.34%
18, 45.01%, 105.96%, 0.33%
19, 44.69%, 106.19%, 0.33%
20, 44.75%, 106.32%, 0.32%
21, 44.79%, 106.50%, 0.31%
22, 44.24%, 106.73%, 0.31%
23, 43.81%, 106.94%, 0.30%
24, 43.73%, 107.08%, 0.30%
25, 43.22%, 107.31%, 0.29%
26, 42.54%, 107.58%, 0.29%
27, 42.45%, 107.72%, 0.29%
28, 42.92%, 107.79%, 0.28%
29, 42.64%, 107.98%, 0.28%
Stock SH600017
1, 47.64%, 101.59%, 1.59%
2, 47.82%, 102.42%, 1.21%
3, 49.29%, 102.94%, 0.98%
4, 49.36%, 103.37%, 0.84%
5, 48.13%, 103.80%, 0.76%
6, 47.21%, 104.23%, 0.70%
7, 46.17%, 104.63%, 0.66%
8, 46.47%, 104.88%, 0.61%
9, 45.55%, 105.29%, 0.59%
10, 46.05%, 105.55%, 0.55%
11, 46.90%, 105.72%, 0.52%
12, 47.15%, 106.04%, 0.50%
